fold,indice_original,score,predicao
1,3410,7.589763314506532,1
1,3412,3.2074213622948538,1
1,3429,3.015327603571153,1
1,3433,2.378566035615945,1
1,3434,5.630002054509449,1
1,3437,6.4397989394863036,1
1,3438,5.591303835346826,1
1,3443,8.170940190007142,1
1,3445,8.951056959024067,1
1,3457,6.647403010382808,1
1,3458,6.73623655265405,1
1,3459,4.390810864417757,1
1,3460,4.104119870135857,1
1,3463,5.541944723529886,1
1,3464,-2.222883043867885,-1
1,3465,2.804405004886437,1
1,3467,5.811922882213699,1
1,3469,5.1369780121478374,1
1,3470,2.282164128970912,1
1,3473,-0.8652878029280995,-1
1,3482,3.3387550624356592,1
1,3485,6.092278616888928,1
1,3501,6.154794754410558,1
1,3508,5.120243154504076,1
1,3519,6.58797300413322,1
1,3522,7.762240610016368,1
1,3526,3.9203493263924614,1
1,3527,7.101577671616402,1
1,3528,2.833966681990116,1
1,3529,6.412199248239551,1
1,3532,7.1616479721109645,1
1,3533,5.328298123044762,1
1,3535,3.4088604717992848,1
1,3541,5.083555523455614,1
1,3542,7.0646238118899785,1
1,3543,6.224462690920367,1
1,3550,7.338571366579272,1
1,3566,5.01062325878002,1
1,3570,7.744994447285654,1
1,3582,5.642589479691905,1
1,3592,7.512371342446533,1
1,3595,5.039418315496809,1
1,3608,1.6972936010008812,1
1,3616,3.132894508396756,1
1,3617,5.772822246182342,1
1,3635,2.105892878165946,1
1,3646,4.893577956134811,1
1,3647,5.814820946352542,1
1,3649,4.3752997626020065,1
1,3661,5.177611883051176,1
1,3666,5.912432708871913,1
1,3677,5.396101688688029,1
1,3679,6.783347973180261,1
1,3686,7.279024969310749,1
1,3688,5.599989920325411,1
1,3689,5.294876025182491,1
1,3693,5.5620866952756085,1
1,3698,0.1502132543925665,1
1,3703,6.437340536729229,1
1,3706,3.230412732797854,1
1,3707,6.047942353648766,1
1,3720,3.1923714112475956,1
1,3721,4.210184524189435,1
1,3739,7.67679311145867,1
1,3742,5.802906193721716,1
1,3745,3.2737183317079506,1
1,3746,5.491162136933651,1
1,3749,5.564686120236454,1
1,3755,7.797409835836037,1
1,3777,3.3944785533104245,1
1,3780,6.604536078558292,1
1,3782,4.765184226276768,1
1,3785,6.402407625813288,1
1,3787,-4.399123517422809,-1
1,3794,5.854129101978161,1
1,3795,4.552983470549199,1
1,3813,3.535389299727088,1
1,3819,7.237561206873503,1
1,3826,5.96356993583405,1
1,3827,6.310670435106404,1
1,3833,7.443849724822213,1
1,3834,5.365806920079374,1
1,3838,8.343175915624192,1
1,3846,9.474413795308495,1
1,3852,1.5984708867286734,1
1,3853,5.786339006407966,1
1,3855,4.0692247540719855,1
1,3857,-0.09440035354515786,-1
1,3859,6.1008993592453304,1
1,3870,-0.8935335830005169,-1
1,3872,4.732251693788404,1
1,3873,2.611815100647524,1
1,3879,7.630711745710757,1
1,3881,3.597348329915956,1
1,3886,4.084430350058485,1
1,3889,6.280627527918243,1
1,3891,5.060012862553618,1
1,3894,5.67158520832435,1
1,3898,6.108615412930833,1
1,3902,6.0326001146746915,1
1,3909,4.778415179196353,1
1,3912,4.1046737409724745,1
1,3914,-0.07277963133325294,-1
1,3919,5.672358216827865,1
1,3933,7.868127689026762,1
1,3934,2.8090915750349588,1
1,3936,5.6228702614726895,1
1,3937,7.989621839994152,1
1,3941,1.4842924802284685,1
1,3944,5.658850218581927,1
1,3946,-2.8003473417968863,-1
1,3955,8.482988620817986,1
1,3971,5.854718058259204,1
1,3973,2.483620903497643,1
1,3984,4.888746534378347,1
1,3999,3.3240298446462972,1
1,4001,0.8079541453336052,1
1,4002,8.764983332474545,1
1,4003,4.508541039019542,1
1,4004,6.368833597769465,1
1,4010,7.447868694004034,1
1,4012,4.473947270667159,1
1,4022,7.00969158501662,1
1,4024,6.344467906736876,1
1,4029,-1.9648965752857226,-1
1,4030,8.758921895702086,1
1,4038,6.63119315275574,1
1,4052,6.377192627139683,1
1,4053,0.05431379643194312,1
1,4075,1.786221095111829,1
1,4080,4.661684307518607,1
1,4081,5.631590653708452,1
1,4091,8.006843207028288,1
1,4092,3.0626306673489445,1
1,4098,6.42524633495754,1
1,4099,4.311152321837161,1
1,4100,5.559977553091505,1
1,4104,4.820533973505471,1
1,4112,8.556082353159185,1
1,4115,7.093301173835345,1
1,4122,5.196079525028486,1
1,4127,7.443911212450571,1
1,4139,5.762754495273844,1
1,4140,-2.200426553969878,-1
1,4149,5.410200360392251,1
1,4165,0.7724895839012209,1
1,4169,4.529745041586823,1
1,4170,7.528821249318694,1
1,4176,1.0663149757917,1
1,4184,4.245883364248561,1
1,4189,2.7548608893104873,1
1,4192,3.5675609441903227,1
1,4196,2.676313528978273,1
1,4205,-1.614372916678187,-1
1,4215,6.802062904149745,1
1,4216,5.9508995404297504,1
1,4217,4.46063484806537,1
1,4220,7.248216929498787,1
1,4230,6.750490237959665,1
1,4233,6.600385617524067,1
1,4238,4.207238215215137,1
1,4245,8.126071243144812,1
